################################
#        Cloaking rules        #
################################

# For https://github.com/sevcator/zapret-pocket <3

# immalware hosts
=finland10009.discord.media 104.25.158.178
=finland10010.discord.media 104.25.158.178
=finland10011.discord.media 104.25.158.178
=finland10012.discord.media 104.25.158.178
=finland10013.discord.media 104.25.158.178
=finland10014.discord.media 104.25.158.178
=finland10015.discord.media 104.25.158.178
=finland10016.discord.media 104.25.158.178
=finland10017.discord.media 104.25.158.178
=finland10018.discord.media 104.25.158.178
=finland10019.discord.media 104.25.158.178
=finland10020.discord.media 104.25.158.178
=finland10021.discord.media 104.25.158.178
=finland10022.discord.media 104.25.158.178
=finland10023.discord.media 104.25.158.178
=finland10024.discord.media 104.25.158.178
=finland10025.discord.media 104.25.158.178
=finland10026.discord.media 104.25.158.178
=finland10027.discord.media 104.25.158.178
=finland10028.discord.media 104.25.158.178
=finland10029.discord.media 104.25.158.178
=finland10030.discord.media 104.25.158.178
=finland10031.discord.media 104.25.158.178
=finland10032.discord.media 104.25.158.178
=finland10033.discord.media 104.25.158.178
=finland10034.discord.media 104.25.158.178
=finland10035.discord.media 104.25.158.178
=finland10036.discord.media 104.25.158.178
=finland10037.discord.media 104.25.158.178
=finland10038.discord.media 104.25.158.178
=finland10039.discord.media 104.25.158.178
=finland10040.discord.media 104.25.158.178
=finland10041.discord.media 104.25.158.178
=finland10042.discord.media 104.25.158.178
=finland10043.discord.media 104.25.158.178
=finland10044.discord.media 104.25.158.178
=finland10045.discord.media 104.25.158.178
=finland10046.discord.media 104.25.158.178
=finland10047.discord.media 104.25.158.178
=finland10048.discord.media 104.25.158.178
=finland10049.discord.media 104.25.158.178
=finland10050.discord.media 104.25.158.178
=finland10051.discord.media 104.25.158.178
=finland10052.discord.media 104.25.158.178
=finland10053.discord.media 104.25.158.178
=finland10054.discord.media 104.25.158.178
=finland10055.discord.media 104.25.158.178
=finland10056.discord.media 104.25.158.178
=finland10057.discord.media 104.25.158.178
=finland10058.discord.media 104.25.158.178
=finland10059.discord.media 104.25.158.178
=finland10060.discord.media 104.25.158.178
=finland10061.discord.media 104.25.158.178
=finland10062.discord.media 104.25.158.178
=finland10063.discord.media 104.25.158.178
=finland10064.discord.media 104.25.158.178
=finland10065.discord.media 104.25.158.178
=finland10066.discord.media 104.25.158.178
=finland10067.discord.media 104.25.158.178
=finland10068.discord.media 104.25.158.178
=finland10069.discord.media 104.25.158.178
=finland10070.discord.media 104.25.158.178
=finland10071.discord.media 104.25.158.178
=finland10072.discord.media 104.25.158.178
=finland10073.discord.media 104.25.158.178
=finland10074.discord.media 104.25.158.178
=finland10075.discord.media 104.25.158.178
=finland10076.discord.media 104.25.158.178
=finland10077.discord.media 104.25.158.178
=finland10078.discord.media 104.25.158.178
=finland10079.discord.media 104.25.158.178
=finland10080.discord.media 104.25.158.178
=finland10081.discord.media 104.25.158.178
=finland10082.discord.media 104.25.158.178
=finland10083.discord.media 104.25.158.178
=finland10084.discord.media 104.25.158.178
=finland10085.discord.media 104.25.158.178
=finland10086.discord.media 104.25.158.178
=finland10087.discord.media 104.25.158.178
=finland10088.discord.media 104.25.158.178
=finland10089.discord.media 104.25.158.178
=finland10090.discord.media 104.25.158.178
=finland10091.discord.media 104.25.158.178
=finland10092.discord.media 104.25.158.178
=finland10093.discord.media 104.25.158.178
=finland10094.discord.media 104.25.158.178
=finland10095.discord.media 104.25.158.178
=finland10096.discord.media 104.25.158.178
=finland10097.discord.media 104.25.158.178
=finland10098.discord.media 104.25.158.178
=finland10099.discord.media 104.25.158.178
=finland10100.discord.media 104.25.158.178
=finland10101.discord.media 104.25.158.178
=finland10102.discord.media 104.25.158.178
=finland10103.discord.media 104.25.158.178
=finland10104.discord.media 104.25.158.178
=finland10105.discord.media 104.25.158.178
=finland10106.discord.media 104.25.158.178
=finland10107.discord.media 104.25.158.178
=finland10108.discord.media 104.25.158.178
=finland10109.discord.media 104.25.158.178
=finland10110.discord.media 104.25.158.178
=finland10111.discord.media 104.25.158.178
=finland10112.discord.media 104.25.158.178
=finland10113.discord.media 104.25.158.178
=finland10114.discord.media 104.25.158.178
=finland10115.discord.media 104.25.158.178
=finland10116.discord.media 104.25.158.178
=finland10117.discord.media 104.25.158.178
=finland10118.discord.media 104.25.158.178
=finland10119.discord.media 104.25.158.178
=finland10120.discord.media 104.25.158.178
=finland10121.discord.media 104.25.158.178
=finland10122.discord.media 104.25.158.178
=finland10123.discord.media 104.25.158.178
=finland10124.discord.media 104.25.158.178
=finland10125.discord.media 104.25.158.178
=finland10126.discord.media 104.25.158.178
=finland10127.discord.media 104.25.158.178
=finland10128.discord.media 104.25.158.178
=finland10129.discord.media 104.25.158.178
=finland10130.discord.media 104.25.158.178
=finland10131.discord.media 104.25.158.178
=finland10132.discord.media 104.25.158.178
=finland10133.discord.media 104.25.158.178
=finland10134.discord.media 104.25.158.178
=finland10135.discord.media 104.25.158.178
=finland10136.discord.media 104.25.158.178
=finland10137.discord.media 104.25.158.178
=finland10138.discord.media 104.25.158.178
=finland10139.discord.media 104.25.158.178
=finland10140.discord.media 104.25.158.178
=finland10141.discord.media 104.25.158.178
=finland10142.discord.media 104.25.158.178
=finland10143.discord.media 104.25.158.178
=finland10144.discord.media 104.25.158.178
=finland10145.discord.media 104.25.158.178
=finland10146.discord.media 104.25.158.178
=finland10147.discord.media 104.25.158.178
=finland10148.discord.media 104.25.158.178
=finland10149.discord.media 104.25.158.178
=finland10150.discord.media 104.25.158.178
=finland10151.discord.media 104.25.158.178
=finland10152.discord.media 104.25.158.178
=finland10153.discord.media 104.25.158.178
=finland10154.discord.media 104.25.158.178
=finland10155.discord.media 104.25.158.178
=finland10156.discord.media 104.25.158.178
=finland10157.discord.media 104.25.158.178
=finland10158.discord.media 104.25.158.178
=finland10159.discord.media 104.25.158.178
=finland10160.discord.media 104.25.158.178
=finland10161.discord.media 104.25.158.178
=finland10162.discord.media 104.25.158.178
=finland10163.discord.media 104.25.158.178
=finland10164.discord.media 104.25.158.178
=finland10165.discord.media 104.25.158.178
=finland10166.discord.media 104.25.158.178
=finland10167.discord.media 104.25.158.178
=finland10168.discord.media 104.25.158.178
=finland10169.discord.media 104.25.158.178
=finland10170.discord.media 104.25.158.178
=finland10171.discord.media 104.25.158.178
=finland10172.discord.media 104.25.158.178
=finland10173.discord.media 104.25.158.178
=finland10174.discord.media 104.25.158.178
=finland10175.discord.media 104.25.158.178
=finland10176.discord.media 104.25.158.178
=finland10177.discord.media 104.25.158.178
=finland10178.discord.media 104.25.158.178
=finland10179.discord.media 104.25.158.178
=finland10180.discord.media 104.25.158.178
=finland10181.discord.media 104.25.158.178
=finland10182.discord.media 104.25.158.178
=finland10183.discord.media 104.25.158.178
=finland10184.discord.media 104.25.158.178
=finland10185.discord.media 104.25.158.178
=finland10186.discord.media 104.25.158.178
=finland10187.discord.media 104.25.158.178
=finland10188.discord.media 104.25.158.178
=finland10189.discord.media 104.25.158.178
=finland10190.discord.media 104.25.158.178
=finland10191.discord.media 104.25.158.178
=finland10192.discord.media 104.25.158.178
=finland10193.discord.media 104.25.158.178
=finland10194.discord.media 104.25.158.178
=finland10195.discord.media 104.25.158.178
=finland10196.discord.media 104.25.158.178
=finland10197.discord.media 104.25.158.178
=finland10198.discord.media 104.25.158.178
=finland10199.discord.media 104.25.158.178
t.me 149.154.167.220
telegram.dog 149.154.167.220
telegram.me 149.154.167.220
telegram.org 149.154.167.220
telegram.space 149.154.167.220
telesco.pe 149.154.167.220
tg.dev 149.154.167.220
